timestamp,object_id,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s
2026-08-29 00:00:00,SAT-001,6778.0,0.0,0.0,-0.0,7.668636,0.122173
2026-08-29 00:01:00,SAT-001,6761.4891,472.8094,7.3275,-0.534937,7.649955,0.122027
2026-08-29 00:02:00,SAT-001,6712.037,943.3153,14.6374,-1.067268,7.594005,0.12159
2026-08-29 00:03:00,SAT-001,6629.8844,1409.2254,21.9125,-1.594399,7.501058,0.120862
2026-08-29 00:04:00,SAT-001,6515.4318,1868.27,29.1352,-2.113762,7.371566,0.119846
2026-08-29 00:05:00,SAT-001,6369.2366,2318.2125,36.2883,-2.622828,7.20616,0.118544
2026-08-29 00:06:00,SAT-001,6192.0111,2756.861,43.3548,-3.119115,7.005647,0.116959
2026-08-29 00:07:00,SAT-001,5984.6188,3182.0783,50.3177,-3.600206,6.771003,0.115094
2026-08-29 00:08:00,SAT-001,5748.07,3591.7928,57.1606,-4.063758,6.503372,0.112955
2026-08-29 00:09:00,SAT-001,5483.5172,3984.0084,63.8669,-4.507511,6.204057,0.110545
2026-08-29 00:10:00,SAT-001,5192.2492,4356.8144,70.4207,-4.929304,5.874516,0.107872
2026-08-29 00:11:00,SAT-001,4875.6852,4708.3944,76.8064,-5.327082,5.516355,0.104942
2026-08-29 00:12:00,SAT-001,4535.3672,5037.0356,83.0087,-5.698907,5.131319,0.101761
2026-08-29 00:13:00,SAT-001,4172.9535,5341.1369,89.0128,-6.042967,4.721284,0.098336
2026-08-29 00:14:00,SAT-001,3790.2095,5619.2167,94.8044,-6.357587,4.288247,0.094677
2026-08-29 00:15:00,SAT-001,3389.0,5869.9202,100.3696,-6.641233,3.834318,0.090792
2026-08-29 00:16:00,SAT-001,2971.2796,6092.026,105.6951,-6.892524,3.361709,0.08669
2026-08-29 00:17:00,SAT-001,2539.0835,6284.4522,110.7683,-7.110235,2.872721,0.082382
2026-08-29 00:18:00,SAT-001,2094.5172,6446.2611,115.577,-7.293306,2.369739,0.077876
2026-08-29 00:19:00,SAT-001,1639.7466,6576.6644,120.1097,-7.440844,1.855211,0.073185
2026-08-29 00:20:00,SAT-001,1176.9873,6675.0269,124.3556,-7.552132,1.331645,0.068318
2026-08-29 00:21:00,SAT-001,708.4939,6740.8694,128.3046,-7.626626,0.801591,0.063289
2026-08-29 00:22:00,SAT-001,236.5488,6773.871,131.9473,-7.663964,0.267632,0.058108
2026-08-29 00:23:00,SAT-001,-236.5488,6773.871,135.2749,-7.663964,-0.267632,0.052789
2026-08-29 00:24:00,SAT-001,-708.4939,6740.8694,138.2795,-7.626626,-0.801591,0.047344
2026-08-29 00:25:00,SAT-001,-1176.9873,6675.0269,140.9539,-7.552132,-1.331645,0.041786
2026-08-29 00:26:00,SAT-001,-1639.7466,6576.6644,143.2918,-7.440844,-1.855211,0.036128
2026-08-29 00:27:00,SAT-001,-2094.5172,6446.2611,145.2875,-7.293306,-2.369739,0.030383
2026-08-29 00:28:00,SAT-001,-2539.0835,6284.4522,146.9363,-7.110235,-2.872721,0.024566
2026-08-29 00:29:00,SAT-001,-2971.2796,6092.026,148.2343,-6.892524,-3.361709,0.018691
2026-08-29 00:30:00,SAT-001,-3389.0,5869.9202,149.1783,-6.641233,-3.834318,0.012771
2026-08-29 00:31:00,SAT-001,-3790.2095,5619.2167,149.7661,-6.357587,-4.288247,0.00682
2026-08-29 00:32:00,SAT-001,-4172.9535,5341.1369,149.9963,-6.042967,-4.721284,0.000853
2026-08-29 00:33:00,SAT-001,-4535.3672,5037.0356,149.8684,-5.698907,-5.131319,-0.005116
2026-08-29 00:34:00,SAT-001,-4875.6852,4708.3944,149.3827,-5.327082,-5.516355,-0.011073
2026-08-29 00:35:00,SAT-001,-5192.2492,4356.8144,148.5402,-4.929304,-5.874516,-0.017003
2026-08-29 00:36:00,SAT-001,-5483.5172,3984.0084,147.3431,-4.507511,-6.204057,-0.022893
2026-08-29 00:37:00,SAT-001,-5748.07,3591.7928,145.7942,-4.063758,-6.503372,-0.028728
2026-08-29 00:38:00,SAT-001,-5984.6188,3182.0783,143.8971,-3.600206,-6.771003,-0.034495
2026-08-29 00:39:00,SAT-001,-6192.0111,2756.861,141.6565,-3.119115,-7.005647,-0.040179
2026-08-29 00:40:00,SAT-001,-6369.2366,2318.2125,139.0776,-2.622828,-7.20616,-0.045767
2026-08-29 00:41:00,SAT-001,-6515.4318,1868.27,136.1666,-2.113762,-7.371566,-0.051246
2026-08-29 00:42:00,SAT-001,-6629.8844,1409.2254,132.9305,-1.594399,-7.501058,-0.056602
2026-08-29 00:43:00,SAT-001,-6712.037,943.3153,129.3771,-1.067268,-7.594005,-0.061824
2026-08-29 00:44:00,SAT-001,-6761.4891,472.8094,125.5146,-0.534937,-7.649955,-0.066897
2026-08-29 00:45:00,SAT-001,-6778.0,0.0,121.3525,-0.0,-7.668636,-0.071812
2026-08-29 00:46:00,SAT-001,-6761.4891,-472.8094,116.9007,0.534937,-7.649955,-0.076554
2026-08-29 00:47:00,SAT-001,-6712.037,-943.3153,112.1697,1.067268,-7.594005,-0.081114
2026-08-29 00:48:00,SAT-001,-6629.8844,-1409.2254,107.1709,1.594399,-7.501058,-0.08548
2026-08-29 00:49:00,SAT-001,-6515.4318,-1868.27,101.9162,2.113762,-7.371566,-0.089642
2026-08-29 00:50:00,SAT-001,-6369.2366,-2318.2125,96.4181,2.622828,-7.20616,-0.09359
